D2D DISTANCES
MS1 name 	MS2 name 	Distance
MS9 	 	 MS59 	 	-0.95
MS10 	 	 MS60 	 	10.26
MS11 	 	 MS61 	 	27.39
MS12 	 	 MS62 	 	21.60
MS13 	 	 MS63 	 	7.53
MS14 	 	 MS64 	 	1.10
MS15 	 	 MS65 	 	0.81
MS16 	 	 MS66 	 	1.33
MS17 	 	 MS67 	 	29.66
MS18 	 	 MS68 	 	-0.01
MS19 	 	 MS69 	 	5.86
MS20 	 	 MS70 	 	1.54
MS21 	 	 MS71 	 	19.28
MS22 	 	 MS72 	 	10.36
MS23 	 	 MS73 	 	22.94
MS24 	 	 MS74 	 	7.14
MS25 	 	 MS75 	 	7.20
MS26 	 	 MS76 	 	1.20
MS27 	 	 MS77 	 	4.59
MS28 	 	 MS78 	 	0.06
MS29 	 	 MS79 	 	6.41
MS30 	 	 MS80 	 	-0.03
MS31 	 	 MS81 	 	9.38
MS32 	 	 MS82 	 	8.48
MS33 	 	 MS83 	 	4.24
MS34 	 	 MS84 	 	6.54
MS35 	 	 MS85 	 	11.90
MS36 	 	 MS86 	 	9.18
MS37 	 	 MS87 	 	18.32
MS38 	 	 MS88 	 	8.04
MS39 	 	 MS89 	 	4.45
MS40 	 	 MS90 	 	16.71
MS41 	 	 MS91 	 	14.36
MS42 	 	 MS92 	 	17.84
MS43 	 	 MS93 	 	0.02
MS44 	 	 MS94 	 	1.76
MS45 	 	 MS95 	 	14.85
MS46 	 	 MS96 	 	41.72
MS47 	 	 MS97 	 	24.44
MS48 	 	 MS98 	 	31.16
MS49 	 	 MS99 	 	28.26
MS50 	 	 MS100 	 	5.73
--------------------------------

